46,54,27,74,27,60,13,29,19,45
48,50,4,44,47,72,85,84,59,51
19,83,58,61,75,60,66,70,76,5
71,97,91,21,81,54,92,71,44,75
98,64,37,16,12,52,32,8,24,83
36,93,28,77,88,44,85,57,16,85
84,49,64,89,39,17,85,92,64,87
34,20,45,64,76,22,87,63,37,76
6,67,85,94,45,78,72,87,50,10
25,13,24,94,93,69,37,9,54,78
69,33,74,56,90,31,7,28,41,42
67,3,90,41,5,54,18,80,16,67
9,29,85,15,97,46,43,24,14,50
11,84,79,7,68,65,51,64,15,93
13,74,42,54,67,63,2,77,99,47
96,4,22,82,37,77,27,11,71,83
52,65,70,58,51,31,5,21,3,13
95,8,36,7,94,74,72,16,91,69
3,20,1,93,44,19,16,50,98,66
57,6,16,52,18,27,64,82,94,25
12,33,90,23,64,59,45,65,3,69
13,17,71,37,93,85,4,42,94,20
50,56,4,35,45,58,99,38,72,33
8,44,61,19,60,11,10,50,22,30
16,13,91,8,72,96,1,89,2,41
51,95,4,82,76,16,36,99,60,85
31,58,34,91,95,26,14,73,81,74
97,51,80,19,2,14,71,27,96,82
33,16,24,27,24,1,11,96,72,61
10,43,11,4,88,27,75,38,86,6
36,72,22,28,50,37,69,53,60,34
10,38,41,96,37,14,36,91,38,35
6,91,59,26,1,52,51,64,92,23
99,31,33,38,41,36,7,76,92,35
69,26,64,6,1,68,41,91,71,41
66,35,61,25,67,16,61,86,80,45
3,61,59,93,28,44,98,50,93,7
72,4,67,1,76,67,2,83,43,39
48,49,33,10,94,71,39,10,76,60
20,39,22,61,65,2,73,6,8,9
16,69,73,88,19,81,22,98,44,60
39,73,71,34,87,13,54,62,97,25
60,31,41,42,20,94,49,44,62,54
98,17,71,6,96,37,58,83,12,77
64,82,4,50,33,52,25,92,4,73
84,21,45,1,65,68,21,31,60,5
86,35,47,81,24,95,73,77,51,92
13,22,80,35,46,86,48,69,16,66
81,28,57,18,70,95,1,97,66,16
6,29,15,45,65,98,17,82,43,97
5,31,81,16,61,89,68,28,58,37
75,39,13,23,86,69,30,9,42,14
12,57,77,94,79,66,46,37,59,79
2,95,28,90,29,6,91,30,60,42
91,96,79,84,71,25,14,56,3,3
44,46,45,83,20,3,70,44,91,78
25,2,84,72,47,62,47,59,60,5
36,57,38,18,44,96,22,30,45,99
37,53,79,37,13,21,84,77,20,28
64,57,86,12,5,80,60,31,87,95
73,55,73,69,60,37,73,52,25,43
69,43,53,69,23,5,93,52,94,83
52,29,36,31,38,22,38,12,13,14
25,4,35,21,47,20,97,89,32,45
63,56,74,81,23,5,38,21,87,42
21,23,77,89,63,82,27,79,33,1
82,30,53,65,1,65,61,19,11,33
69,33,68,53,46,55,26,10,98,19
81,67,70,67,91,19,43,3,5,99
6,55,47,33,51,67,3,74,11,10
45,14,99,78,28,78,93,3,70,23
4,2,12,47,85,94,15,99,1,38
41,10,97,7,1,98,18,97,68,16
71,29,27,83,81,20,81,53,82,80
14,62,77,73,53,81,70,56,87,69
79,77,11,15,58,48,59,78,96,1
98,96,91,79,64,28,41,77,12,57
55,92,86,77,75,48,9,36,23,51
42,54,17,31,35,18,12,61,40,80
88,65,15,96,97,65,14,16,3,96
71,9,2,5,13,31,34,79,17,84
13,14,63,57,61,38,46,94,73,34
97,16,41,97,97,38,23,2,42,81
33,95,99,48,33,29,72,74,41,73
28,20,90,65,86,12,40,81,66,25
12,77,64,21,79,18,14,66,74,63
26,62,14,5,10,74,19,44,43,12
45,52,88,76,89,25,67,17,19,15
95,32,27,1,18,39,67,32,26,45
38,32,55,64,12,66,15,17,38,58
78,55,60,38,98,50,71,24,33,48
52,22,15,75,6,86,51,12,5,22
96,83,3,90,22,11,28,49,56,30
88,99,21,70,30,24,85,43,53,29
21,89,71,81,95,83,73,56,4,97
59,57,13,70,42,18,78,38,64,35
31,20,79,94,70,32,1,30,42,20
25,82,61,57,82,32,8,31,55,64
